Web of science search,Initials ,FRED? (y/n),Warming experiment? (y/n),Should be in Warming dataset? (y/n),Should be in FRED? (y/n),In SH thesis (y/n),Data Extracted?,Which Protocol?,Rationale for exclusion from AU warming database,Data source,Entered in FRED?,2025 Notes,Initials,Notes,Experiment or Gradient (Selena),Species (Selena),Traits (Selena),Notes (Selena),Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISSN,eISSN,Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,UT (Unique WOS ID)
WOS1990,MY,n,n,n,y,n,complete,"ChatGPT: Table 1, 3, 9",,Not found,complete,,MY,,,,,,,"Cuevas, E; Medina, E",,,,,,,"Nutrient Dynamics Within Amazonian Forests .2. Fine Root-Growth, Nutrient Availability And Leaf Litter Decomposition",Oecologia,"Relationships between fine root growth, rates of litter decomposition and nutrient release were analysed in a mixed forest on Tierra Firme, a Tall Amazon Caatinga and a Low Bana on podsolized sands near San Carlos de Rio Negro [Venezuala]. Fine root growth in the upper soil layers (root mat + 10 cm upper soil) was considerably higher in the Tierra Firme forest (1117 gm-2 yr-1) than in tall Cattinga (120) and Bana (234). Fine root growth on top of the root mat was stimulated significantly by added N in Tall Caatinga and Low Bana forests, by P in Tierra Firme and Bana forests, and by Ca only in the Tierra Firme forest. Rate of fine root growth in Tierra Firme forest on fresh litter is strongly correlated with the Mg and Ca content of litter. Rate of litter decomposition was inversely related to % lingin and the lignin/N ratio of litter. Litter contact with the dense root mat of the Tierra Firme increased rates of disappearance for biomass, Ca and Mg as compared with litter permanently separated or lifted weekly from the root mat to avoid root attachment. Nitrogen concentration of decomposing litter increased in all forests, net N released being observed only in Caryocar glabrum and Aspidosperma megalocarpum of the Tierra Firme forest after one year of exposure. Results emphasize the differences in limiting nutrients in amazonian forest ecosystems on contrasting soil types: Tierra Firme forests are particularly limited by Ca and Mg, while Caatinga and Bana forests are limited mainly by N availability.",,,,,,,,,,,,,,,,,0029-8549,1432-1939,,,,1988,76,2,222,235,,10.1007/BF00379956,,,
WOS1990,MY,n,n,y,y,n,complete,ChatGPT: Table 1,,Not found,complete,,MY,,,,,,,"Curran, M; Cole, M; Allaway, WG",,,,,,,Root Aeration And Respiration In Young Mangrove Plants (Avicennia-Marin(Forsk) Vierh),Journal Of Experimental Botany,"The roots of young plants of Avicennia marina (Forsk.) Vierh. grown under simulated tidal conditions were harvested so as to obtain the entire root system. The roots were subdivided and weighed and subsamples taken for manometric determination of respiration rates at different temperatures. The supply capacity of the above-ground portion of the root system was determined and the results compared in terms of supply and demand. The oxygen consumption rate of the roots at 15.degree. C was found to be 1.69 .+-. 0.07 .mu.mol kg-1s-1 for cable roots and 3.27 .+-. 0.12 .mu.mol kg-1s-1 for fine roots. The Q10 for respiration was 2.55 for oxygen consumption in both fine and cable roots, and for carbon dioxide production was 2.66 for fine roots and 3.04 for cable roots. The respiratory quotient varied with temperature but was less than unity. Concentration differences of between 1.8 mol m-3 and 3.4 mol m-3 between the inside of root and the air were sufficient to permit aeration of the root system by diffusion alone, and the aerenchyma contained sufficient oxygen to maintain aerobic conditions while the roots were covered with water. The effect of tide and seasonal temperature change on gas exchange, together with the possibility of some form of carbon dioxide fixation within the root, are examined and the implications of these effects on growth and development are discussed.",,,,,,,,,,,,,,,,,0022-0957,1460-2431,,,AUG,1986,37,181,1225,1233,,10.1093/jxb/37.8.1225,,,
WOS1990,MY,n,n,n,y,n,complete,"ChatGPT: Table 1, 2",,Not found,complete,,MY,,,,,,,"Fabiao, A; Persson, H; Steen, E",,,,,,,Growth Dynamics Of Superficial Roots In Portuguese Plantations Of Eucalyptus-Globulus Labill Studied With A Mesh Bag Technique,Plant And Soil,"The variation in growth of the fine roots of blue gum (E. globulus Labill. ssp. globulus) in the 0-40 cm soil layer was studies from March 1982-March 1983 at Quinta do Furaduoro, Obidos, Portugal. A mesh bag method was used; bags of nylon net were inserted into a clay soil and a sandy soil and filled with root-free soil. They were resampled after 2, 4, 6 and 12 mo. in both places and, in a separate series in the sandy soil every 2nd mo. throughout the year. The ingrowth of roots was high during the winter months but there was also a surprisingly high ingrowth during the spring-early summer period. There was also some root growth during the driest part of the year viz. July-Sept. The amount of fine roots reached a maximum of about 260 g dw m-2 after about 6 mo. in the sandy soil, whereas it took at least 12 mo. to reach the somewhat higher level of 450 g dw m-2 in the clay soil. At that level the decomposition of dead roots was expected to equal the formation of new roots. Dead roots appeared after only 2 mo. There was a higher proportion of dead roots in the clay soil than in the sandy soil, 35% as compared with 20% on an average, which indicates a slower decomposition or a higher mortality at equal decomposition rates in the clay than and in the sandy soil. The present data gives an indication of a minimum fine root production in mature Eucalyptus stands of at least 600 g dw m-2 yr-1.",,,,,,,,,,,,,,,,,0032-079X,1573-5036,,,,1985,83,2,233,242,,10.1007/BF02184295,,,
WOS1990,MY,n,n,n,y,n,complete,ChatGPT: Table 1,,Not found,complete,,MY,,,,,,,"Gower, ST; Vitousek, PM",,,,,,,Effects Of Nutrient Amendments On Fine Root Biomass In A Primary Successional Forest In Hawaii,Oecologia,"We determined the effect of fertilization treatments (control (C), complete nutrient amendment without nitrogen (PT), nitrogen only (N) and a complete nutrient amendment (NPT)) on fine root biomass in a tropical montane forest in Hawaii. Fertilization significantly decreased root biomass; live fine root mass (< 2 mm diameter) for the C, PT, N and NPT treatments were 335, 145, 110 and 105 g .cntdot. m-2, respectively. Nutrient availability appears to control fine root mass in this primary successional forest.",,,,,,,,,,,,,,,,,0029-8549,1432-1939,,,,1989,81,4,566,568,,10.1007/BF00378970,,,
WOS1990,MY,n,n,n,y,n,complete,"ChatGPT: Table 3, 4, 6, 7",,Not found,complete,,MY,,,,,,,"Higgins, KB; Lamb, AJ; Vanwilgen, BW",,,,,,,"Root Systems Of Selected Plant-Species In Mesic Mountain Fynbos In The Jonkershoek Valley, Southwestern Cape Province",South African Journal Of Botany,,,,,,,,,,,,,,,,,,0254-6299,1727-9321,,,JUNE,1987,53,3,249,257,,10.1016/S0254-6299(16)31438-7,,,
WOS1990,MY,n,n,n,y,n,complete,"PlotDigitizer: Fig 1, 2, 3",,Not found,complete,,MY,,,,,,,"Marshall, JD",,,,,,,Drought And Shade Interact To Cause Fine-Root Mortality In Douglas-Fir Seedlings,Plant And Soil,"Both desiccation and depleted carbohydrate reserves have been suggested as causes of fine-root (.ltoreq. 2 mm in diameter) mortality in trees. In this study, Douglas-fir [Pseudotsuga menziesii (Mirb.) Franco] seedlings were subjected to four combinations of shading and watering to determine whether shading increases of drought-induced root mortality and, if so, whether this effect is due to reduced levels of carbohydrate reserves or increased susceptibility to desiccation. Two correlated measures of root mortality (counting root tips and weighing roots) showed that significantly more fine roots died only when seedlings were both shaded and unwatered. Concentrations of suberin, a compound synthesized by plant roots to control desiccation, were unaffected by any combination of shading and watering; however, carbohydrate reserves were nearly exhausted in the shaded and unwatered treatment.sbd.the treatment with highest root mortality. Water stress may have increased root mortality indirectly by increasing root temperature and maintenance respiration and by inhibiting photosynthate transport to the root system, but massive die-off in response to drought was apparent only when starch and sugar reserves were nearly depleted. Drought cannot be considered directly responsible for death of fine roots. Instead, a root''s ability to continue to respire, which in turn depends on the status of its starch and sugar reserves, seems to be the primary physiological control of fine-root mortality.",,,,,,,,,,,,,,,,,0032-079X,1573-5036,,,,1986,91,1,51,60,,10.1007/BF02181818,,,
WOS1990,MY,n,n,y,y,n,complete,"PlotDigitzer: Fig 8, 9
ChatGPT: Table 3",,Not found,complete,,MY,,,,,,,"Marshall, JD; Waring, RH",,,,,,,Predicting Fine Root Production And Turnover By Monitoring Root Starch And Soil-Temperature,Canadian Journal Of Forest Research,"To determine how the longevity of fine roots (those without secondary thickening) is controlled, shoots of Douglas-fir (Pseudotsuga menziesii Mirb. (Franco)) seedling were exposed to light or maintained in darkness while roots were maintained at 10, 20 or 30.degree. C. Fine root maintenance respiration rates, estimated from rates of starch and sugar depletion in the seedlings maintained in darkness, ranged from 0.83 to 3.25 mg starch g dry weight-1 day-1. At 20 and 30.degree. C, starch deposition was curtailed and previously deposited starch was used to maintain the older roots, whether current photosynthate was entering the root system or not. On the other hand, at 10.degree. C starch was deposited in the roots whenever the root systems grew. Based on these results, we suggest that starch deposition in a fine root occurs only when the root is being formed and the root carbon balance is positive. Starch is subsequently respired to meet maintenance requirements exclusively. A simple means of estimating root biomass production and turnover based on root starch and soil temperature is described and compared with field estimates.",,,,,,,,,,,,,,,,,0045-5067,1208-6037,,,,1985,15,5,791,800,,10.1139/x85-129,,,
WOS1990,MY,n,n,n,y,n,complete,"PlotDigitzer: Fig 1, 2",,Not found,complete,,MY,,,,,,,"Tinhout, A; Weger, MJA",,,,,,,Fine Roots In A Dry Calluna Heathland,Acta Botanica Neerlandica,"The fine roots in a dry Calluna vulgaris heathland are concentrated in the top soil. Over a 21-month period their dry mass varied from 303 to 612 g m-1, or from 15.7 to 55.2% of the total root mass in the top 5 cm of soil. In early summer and in late autumn to early winter there appeared to be peaks in fine root mass. Data suggest that fine root mass is correlated with moisture availability in the top soil. Nitrogen concentration of the fine roots averaged 17.3 mg g-1 and showed seasonal variation. Phosphorus concentration averaged 0.56 mg g-1 and did not show such variation.",,,,,,,,,,,,,,,,,0044-5983,,,,JUN,1998,37,2,225,230,,10.1111/j.1438-8677.1988.tb02131.x,,,
WOS1990,MY,n,n,n,y,n,complete,PlotDigitizer: Fig 14,average root growth rate m m^-2 day^-1 not found in FRED,Not found,NA,,MY,,,,,,,"Hoogenboom, G; Huck, MG; Peterson, CM",,,,,,,Predicting Root-Growth And Water-Uptake Under Different Soil-Water Regimes,Agricultural Systems,,,,,,,,,,,,,,,,,,0308-521X,1873-2267,,,,1988,26,4,263,290,,10.1016/0308-521X(88)90045-5,,,
WOS1990,MY,n,n,n,y,n,complete,"PlotDigitizer: Fig 1, 2
ChatGPT: Table 1, 2, 3, 4",,Not found,complete,,MY,,,,,,,"Joslin, JD; Henderson, GD",,,,,,,Organic-Matter And Nutrients Associated With Fine Root Turnover In A White Oak Stand,Forest Science,"Organic matter and nutrients cycled by fine root turnover were quantified in a mature white oak (Quercus alba L.) stand and compared to contributions from litterfall. The budget method, a revised version of the traditional repeated sampling method, was used to measure root turnover. The magnitude of the live and dead pools of three size classes of fine (<5 mm diameter) roots were monitored bimonthly for 14 months. Decomposition rates over these intervals were also measured, while production and mortality were calculated. Litterfall was collected simultaneously, and the nutrient concentrations of the various detritus components determined. Root pools fluctuated less, and total root turnover biomass (220 g m-2 yr-1) was also less than previously noted in most other stands studied. Fine root turnover accounted for 30% of the total detritus production and 20-40% of the turnover of the five macronutrients (N, P, K, Ca, Mg) studied. Differences with previous studies suggest that there may be rather large species and/or site-related differences in the amount of energy various stands allocate for fine root maintenance.",,,,,,,,,,,,,,,,,0015-749X,1938-3738,,,JUN,1987,33,2,330,346,,,,,
WOS1990,MY,n,n,n,y,n,complete,"PlotDigitizer: Fig 8
ChatGPT: Table 1
Claude: Table 2",,Not found,complete,,MY,,,,,,,"Feil, W; Kottke, I; Oberwinkler, F",,,,,,,The Effect Of Drought On Mycorrhizal Production And Very Fine Root-System Development Of Norway Spruce Under Natural And Experimental Conditions,Plant And Soil,"Mycorrhizal growth rates were measured monthly, using a new method, in two neighbouring plots of a natural spruce stand. One of the plots was irrigated while the other suffered from drought during the late summer and autumn months. Drought did not completely stop mycorrhizal growth. It caused a higher rate of root dormancy and a reduced elongation rate of the parent roots but an increased development of new mycorrhizal last order laterals. Thus, the branching density of the very fine root systems was increased, even though fewer growing mycorrhizae were found in the non-irrigated plot during the dry period. Similar results were observed in a water-stress experiment with pot-cultures. After rewetting, elongation rate was stimulated and the number of growing mycorrhizae increased rapidly on the non-irrigated plot. Possible relationships between dry weight, distribution and branching density of growing fine root systems are presented.",,,,,,,,,,,,,,,,,0032-079X,1573-5036,,,MAY,1988,108,2,221,231,,10.1007/BF02375652,,,
WOS1990,MY,n,n,n,y,n,complete,"PlotDigitizer: Fig 1, 3",,Not found,complete,,MY,,,,,,,"Kummerow, J; Dasilva, WS",,,,,,,Fine Root-Growth Dynamics In A Cacao (Theobroma-Cacao L) Plantation,American Journal Of Botany,"Fine-root densityina mature cacao plantation in Bahia/Brazil was monitored at weekly intervals from October, 1980 until March, 1981. About 40 gm-2 of fineroots (diameter < 1mm) were found during this period. The relative stability of this value over the sixmonths period contrasted with significant changes in the number of growing root tips per unit of soil volume. These changes were not conditioned by the rainfall pattern although low root tip values were counted at the end of a minor drought period. A significant negative correlation was found between a shoot growth flush in January and the activity of the fine-root system as measured by the number of new root tip",,,,,,,,,,,,,,,,,0002-9122,,,,,1985,72,6,856,857,,,,,
WOS1990,MY,n,n,n,y,n,complete,"Claude: Table 1, 2, 3",,Not found,complete,,MY,,,,,,,"Majdi, HS; Persson, H",,,,,,,Effects Of Road-Traffic Pollutants (Lead And Cadmium) On Tree Fine-Roots Along A Motor Road,Plant And Soil,"The aim of this investigation was to study the effects of lead and cadmium pollutants from road traffic on fine roots and mycorrhiza and their accumulation in soil. The effects of salt and phosphorus, calcium and pH were furthermore included in the study. Soil sampling was carried out in a Norway spruce (Picea abies (L.) Karsten) stand along the European road E18 in the neighbourhood of Vasteras [Sweden]. Cylindrical soils samples were taken along two parallel lines at a distance of 20 and 200 m from the about 10 m open area on both sides of the road. There were more root tips per soil core in the FH-horizon 200 m from the road than near the road. The amount of fine roots (dry weight and length) was furthermore higher in the FH-layer in the forest than adjacent to the road. The estimated pH was higher in the FH- and mineral soil horizon near the road than in the forest. The lead concentration was highest in the FH-layer near the road, in spite of the high pH and calcium concentration in the soil. The lead and cadmium concentrations in dead fine-roots were higher close to the road than in the forest. In relation to lead the related cadmium concentration in the soil was very low.",,,,,,,,,,,,,,,,,0032-079X,1573-5036,,,SEPT,1989,119,1,1,5,,10.1007/BF02370263,,,
WOS1990,MY,n,n,n,y,n,complete,"PlotDigitizer: Fig 1, 2",,Not found,complete,,MY,,,,,,,"Mcgee, PA",,,,,,,Alteration Of Growth Of Solanum-Opacum And Plantago-Drummondii And Inhibition Of Regrowth Of Hyphae Of Vesicular-Arbuscular Mycorrhizal Fungi From Dried Root Pieces By Manganese,Plant And Soil,,,,,,,,,,,,,,,,,,0032-079X,1573-5036,,,,1987,101,2,227,233,,10.1007/BF02370649,,,
WOS1990,MY,n,n,n,y,n,complete,Claude: Table 1,,Not found,complete,,MY,,,,,,,"Mckary, HM",,,,,,,The Influence Of Pine On The Form Of Sitka Spruce Fine Roots,Journal Of Experimental Botany,"The form of fine roots of Sitka spruce (Picea sitchensis Bong. Carr.) when grown in immediate proximity to roots of Scots pine (Pinus sylvestris L.) and when grown separately was compared using split-root systems. When spruce roots were intimately mixed with pine roots the mean length of individual spruce laterals was significantly greater, while the length:weight ratio and number of root tips:weight ratio were smaller than when grown alone. A similar alteration in growth strategy was achieved by direct addition of mineral nitrogen.",,,,,,,,,,,,,,,,,0022-0957,1460-2431,,,SEPT,1988,39,206,1263,1266,,10.1093/jxb/39.9.1263,,,
WOS1990,MY,n,n,n,y,n,complete,"PlotDigitizer: Fig 1, 2","total root length is in m/m^2 which doesn't match FRED where it's mm/frame
long root growth rate m/day/m^2 also not found in FRED",Not found,NA,,MY,,,,,,,"Montpied, P",,,,,,,Fine Root-Growth In A Sweet Chestnut (Castanea-Sativa Mill) Coppice,Annales Des Sciences Forestieres,"The root growth and turnover of fine roots are known to be a major carbon pathway in forest ecosystems (Fogel, 1985). Dubroca (1983) showed that the carbohydrate reserves play a major role in both above- and belowground growth of a sweet chestnut (Castanea sativa Mill.) coppice. The aim of this study was to examine fine root phenology of a chestnut coppice with an emphasis on the influence of coppicing",,,,,,,,,,,,,,,,,0003-4312,,,,,1989,46,,S301,S304,,10.1051/forest:19890569,,,
WOS1990,MY,n,n,n,y,n,complete,Claude: Table 2,,Not found,complete,,MY,,,,,,,"Murakami, T; Toneyama, T",,,,,,,Comparison Of Root Length Of 2 Rice (Oryza-Sativa-L) Varieties By Using An Image Analyzer,Plant And Soil,"By using the image analyzer technique, the length of rice roots including the fine size (ca. 20 .mu.m) roots was successfully measured. The analysis revealed that the roots of a high-yielding rice variety were 26% longer than those of an ordinary variety and that the root length of both varieties varied similarly depending on the fertilizer managements.",,,,,,,,,,,,,,,,,0032-079X,1573-5036,,,,1988,105,2,287,289,,10.1007/BF02376794,,,
WOS1990,MY,n,n,n,y,n,complete,"Claude: Table 1, 3",,Not found,complete,,MY,,,,,,,"Rich, JR; Hodge, C; Robertson, WK",,,,,,,Distribution Of Field Corn Roots And Parasitic Nematodes In Subsoiled And Nonsubsoiled Soil,Journal Of Nematology,,,,,,,,,,,,,,,,,,0022-300X,2640-396X,,,APRIL,1986,18,2,203,207,,,,,
WOS1990,MY,n,n,n,y,n,complete,Claude: Table 1,,Not found,complete,,MY,,,,,,,"Sanford, RL",,,,,,,Fine Root Biomass Under A Tropical Forest Light Gap Opening In Costa-Rica,Journal Of Tropical Ecology,,,,,,,,,,,,,,,,,,0266-4674,,,,MAY,1989,5,,251,256,,10.1017/S0266467400003576,,,
